,sourceid,title_x,type,issn,sjr,sjr best quartile,h index,total docs. (2020),total docs. (3years),total refs.,total cites (3years),citable docs. (3years),cites / doc. (2years),ref. / doc.,country,region,publisher,coverage,categories,campo_join,title_y,total cites,journal impact factor,eigenfactor score,abstract,doi,year,author,title,type_publication
0,22401,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,journal,"15583597, 07351097","10,315",Q1,431,935,2960,22363,23475,1191,"7,44","23,92",United States,Northern America,Elsevier USA,1983-2020,Cardiology and Cardiovascular Medicine (Q1),JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"125,873",24.094,0.177,"Data science is likely to lead to major changes in cardiovascular imaging. Problems with timing, efficiency, and missed diagnoses occur at all stages of the imaging chain. The application of artificial intelligence (AI) is dependent on robust data; the application of appropriate computational approaches and tools; and validation of its clinical application to image segmentation, automated measurements, and eventually, automated diagnosis. AI may reduce cost and improve value at the stages of image acquisition, interpretation, and decision-making. Moreover, the precision now possible with cardiovascular imaging, combined with “big data” from the electronic health record and pathology, is likely to better characterize disease and personalize therapy. This review summarizes recent promising applications of AI in cardiology and cardiac imaging, which potentially add value to patient care.",https://doi.org/10.1016/j.jacc.2018.12.054,2019,Damini Dey and Piotr J. Slomka and Paul Leeson and Dorin Comaniciu and Sirish Shrestha and Partho P. Sengupta and Thomas H. Marwick,ARTIFICIAL INTELLIGENCE IN CARDIOVASCULAR IMAGING: JACC STATE-OF-THE-ART REVIEW,article
1,17600155011,MOLECULAR PLANT,journal,"16742052, 17529867","4,588",Q1,115,153,474,8872,4792,380,"9,60","57,99",United States,Northern America,Cell Press,2008-2020,Molecular Biology (Q1); Plant Science (Q1),MOLECULAR PLANT,MOLECULAR PLANT,"15,778",13.164,0.02686,"The first paradigm of plant breeding involves direct selection based phenotypic observation, followed by predictive breeding using statistical models constructed for quantitative traits based on genetic experimental design and more recently by incorporating molecular marker genotypes. However, plant performance or phenotype (P) is determined by the combining effects of genotype (G), envirotype (E) and genotype by environment interaction (GEI). Phenotypes can be predicted more precisely by training a model using data collected from multiple sources, including spatiotemporal omics (genomics, phenomics and enviromics across time and space). Integration of 3D information profiles (G-P-E), each with multidimensionality, provides predictive breeding with both tremendous opportunities and great challenges. Here, we first review innovative technologies for predictive breeding. We then evaluate multidimensional information profiles that can be integrated with a predictive breeding strategy, particularly envirotypic data, which have largely been neglected in data collection and nearly untouched in model construction. We propose a smart breeding scheme, integrated genomic-enviromic prediction (iGEP), as an extension of genomic prediction, using integrated multiomics information, big data technology and artificial intelligence (mainly focus on machine and deep learning). How to implement iGEP was discussed, including spatiotemporal models, environmental indices, factorial and spatiotemporal structure of plant breeding data, and cross-species prediction. A strategy is then proposed for prediction-based crop redesign at both the macro (individual, population and species) and micro (gene, metabolism and network) scales. Finally, we provide perspectives on translating the smart breeding into genetic gain through integrative breeding platforms and open-source breeding initiatives. We call for coordinated efforts in smart breeding through iGEP, institutional partnerships, and innovative technological support.",https://doi.org/10.1016/j.molp.2022.09.001,2022,Yunbi Xu and Xingping Zhang and Huihui Li and Hongjian Zheng and Jianan Zhang and Michael S. Olsen and Rajeev K. Varshney and Boddupalli M. Prasanna and Qian Qian,"SMART BREEDING DRIVEN BY BIG DATA, ARTIFICIAL INTELLIGENCE AND INTEGRATED GENOMIC-ENVIROMIC PREDICTION",article
2,17600155011,MOLECULAR PLANT,journal,"16742052, 17529867","4,588",Q1,115,153,474,8872,4792,380,"9,60","57,99",United States,Northern America,Cell Press,2008-2020,Molecular Biology (Q1); Plant Science (Q1),MOLECULAR PLANT,MOLECULAR PLANT,"15,778",13.164,0.02686,,https://doi.org/10.1016/j.molp.2019.01.008,2019,Yoshiaki Ueda and Shuichi Yanagisawa,DELINEATION OF NITROGEN SIGNALING NETWORKS: COMPUTATIONAL APPROACHES IN THE BIG DATA ERA,article
3,17809,TRENDS IN PLANT SCIENCE,journal,"13601385, 18784372","4,587",Q1,263,162,386,9428,4844,377,"11,39","58,20",United Kingdom,Western Europe,Elsevier Ltd.,1996-2020,Plant Science (Q1),TRENDS IN PLANT SCIENCE,TRENDS IN PLANT SCIENCE,"29,531",18.313,0.02277,"Optical sensors and sensing-based phenotyping techniques have become mainstream approaches in high-throughput phenotyping for improving trait selection and genetic gains in crops. We review recent progress and contemporary applications of optical sensing-based phenotyping (OSP) techniques in cereal crops and highlight optical sensing principles for spectral response and sensor specifications. Further, we group phenotypic traits determined by OSP into four categories – morphological, biochemical, physiological, and performance traits – and illustrate appropriate sensors for each extraction. In addition to the current status, we discuss the challenges of OSP and provide possible solutions. We propose that optical sensing-based traits need to be explored further, and that standardization of the language of phenotyping and worldwide collaboration between phenotyping researchers and other fields need to be established.",https://doi.org/10.1016/j.tplants.2021.07.015,2022,Dawei Sun and Kelly Robbins and Nicolas Morales and Qingyao Shu and Haiyan Cen,ADVANCES IN OPTICAL PHENOTYPING OF CEREAL CROPS,article
4,6400153137,JOURNAL OF THORACIC ONCOLOGY,journal,"15561380, 15560864","4,539",Q1,133,316,1028,6973,6688,581,"6,04","22,07",United States,Northern America,International Association for the Study of Lung Cancer,2006-2020,Medicine (miscellaneous) (Q1); Oncology (Q1); Pulmonary and Respiratory Medicine (Q1),JOURNAL OF THORACIC ONCOLOGY,JOURNAL OF THORACIC ONCOLOGY,"24,405",15.609,0.04278,,https://doi.org/10.1016/j.jtho.2022.02.010,2022,Ahmed Salem and Kevin Franks and Alastair Greystoke and Gerard G. Hanna and Stephen Harrow and Matthew Hatton and Crispin Hiley and Fiona McDonald and Corinne Faivre-Finn,UNACCOUNTED CONFOUNDERS LIMIT THE ABILITY TO DRAW CONCLUSIONS FROM BIG DATA ANALYSIS COMPARING RADIOTHERAPY FRACTIONATION REGIMENS IN NSCLC,article
5,21100943502,MATTER,journal,"25902393, 25902385","4,138",Q1,22,322,156,15168,1414,133,"9,06","47,11",United States,Northern America,Cell Press,2019-2020,Materials Science (miscellaneous) (Q1),MATTER,MATTER,"2,357",15.589,0.00396,"With thousands of publications per year, the volume of data published on perovskite solar cells since the spark of the “perovskite fever” in 2013 is enormous and far exceeds the amount that any individual researcher could digest. To tackle this issue, Jacobsson et al.1 have created The Perovskite Database, which is part of a larger trend to harness the power of big data and artificial intelligence to accelerate the commercialization of perovskite solar cells.",https://doi.org/10.1016/j.matt.2022.06.001,2022,Kameron R. Hansen and Luisa Whittaker-Brooks,FINDING THE FAIRNESS IN PEROVSKITE PHOTOVOLTAICS RESEARCH,article
6,24046,SEMINARS IN CANCER BIOLOGY,journal,"10963650, 1044579X","3,908",Q1,148,287,310,47920,3555,286,"11,39","166,97",United States,Northern America,Academic Press Inc.,1990-2020,Cancer Research (Q1),SEMINARS IN CANCER BIOLOGY,SEMINARS IN CANCER BIOLOGY,"11,552",15.707,0.01211,"Radiotherapy is a discipline closely integrated with computer science. Artificial intelligence (AI) has developed rapidly over the past few years. With the explosive growth of medical big data, AI promises to revolutionize the field of radiotherapy through highly automated workflow, enhanced quality assurance, improved regional balances of expert experiences, and individualized treatment guided by multi-omics. In addition to independent researchers, the increasing number of large databases, biobanks, and open challenges significantly facilitated AI studies on radiation oncology. This article reviews the latest research, clinical applications, and challenges of AI in each part of radiotherapy including image processing, contouring, planning, quality assurance, motion management, and outcome prediction. By summarizing cutting-edge findings and challenges, we aim to inspire researchers to explore more future possibilities and accelerate the arrival of AI radiotherapy.",https://doi.org/10.1016/j.semcancer.2022.08.005,2022,Guangqi Li and Xin Wu and Xuelei Ma,ARTIFICIAL INTELLIGENCE IN RADIOTHERAPY,article
7,15537,CURRENT BIOLOGY,journal,"18790445, 09609822","3,822",Q1,316,929,2432,38487,15523,2265,"5,99","41,43",United States,Northern America,Cell Press,1991-2020,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)",CURRENT BIOLOGY,CURRENT BIOLOGY,"78,289",10.834,0.1161,"Summary
Fungi have successfully established themselves across seemingly every possible niche, substrate, and biome. They are fundamental to biogeochemical cycling, interspecies interactions, food production, and drug bioprocessing, as well as playing less heroic roles as difficult to treat human infections and devastating plant pathogens. Despite community efforts to estimate and catalog fungal diversity, we have only named and described a minute fraction of the fungal world. The identification, characterization, and conservation of fungal diversity is paramount to preserving fungal bioresources, and to understanding and predicting ecosystem cycling and the evolution and epidemiology of fungal disease. Although species and ecosystem conservation are necessarily the foundation of preserving this diversity, there is value in expanding our definition of conservation to include the protection of biological collections, ecological metadata, genetic and genomic data, and the methods and code used for our analyses. These definitions of conservation are interdependent. For example, we need metadata on host specificity and biogeography to understand rarity and set priorities for conservation. To aid in these efforts, we need to draw expertise from diverse fields to tie traditional taxonomic knowledge to data obtained from modern -omics-based approaches, and support the advancement of diverse research perspectives. We also need new tools, including an updated framework for describing and tracking species known only from DNA, and the continued integration of functional predictions to link genetic diversity to functional and ecological diversity. Here, we review the state of fungal diversity research as shaped by recent technological advancements, and how changing viewpoints in taxonomy, -omics, and systematics can be integrated to advance mycological research and preserve fungal biodiversity.",https://doi.org/10.1016/j.cub.2021.06.083,2021,Lotus A. Lofgren and Jason E. Stajich,"FUNGAL BIODIVERSITY AND CONSERVATION MYCOLOGY IN LIGHT OF NEW TECHNOLOGY, BIG DATA, AND CHANGING ATTITUDES",article
8,28973,JOURNAL OF ECONOMETRICS,journal,03044076,"3,769",Q1,159,241,418,11045,1497,408,"3,38","45,83",Netherlands,Western Europe,Elsevier BV,1973-2020,Applied Mathematics (Q1); Economics and Econometrics (Q1); History and Philosophy of Science (Q1),JOURNAL OF ECONOMETRICS,JOURNAL OF ECONOMETRICS,"25,569",2.388,0.02085,"Nearly all studies that analyze the term structure of interest rates take a two-step approach. First, actual bond prices are summarized by interpolated synthetic zero-coupon yields, and second, some of these yields are used as the source data for further empirical examination. In contrast, we consider the advantages of a one-step approach that directly analyzes the universe of bond prices. To illustrate the feasibility and desirability of the one-step approach, we compare arbitrage-free dynamic term structure models estimated using both approaches. We also provide a simulation study showing that a one-step approach can extract the information in large panels of bond prices and avoid any arbitrary noise introduced from a first-stage interpolation of yields.",https://doi.org/10.1016/j.jeconom.2019.04.019,2019,Martin M. Andreasen and Jens H.E. Christensen and Glenn D. Rudebusch,TERM STRUCTURE ANALYSIS WITH BIG DATA: ONE-STEP ESTIMATION USING BOND PRICES,article
9,16547,TOURISM MANAGEMENT,journal,02615177,"3,328",Q1,199,159,690,11910,8354,687,"11,06","74,91",United Kingdom,Western Europe,Elsevier Ltd.,1982-2021,"Development (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)",TOURISM MANAGEMENT,TOURISM MANAGEMENT,"37,117",10.967,0.02226,"Even at an early stage, diverse big data have been applied to tourism research and made an amazing improvement. This paper might be the first attempt to present a comprehensive literature review on different types of big data in tourism research. By data sources, the tourism-related big data fall into three primary categories: UGC data (generated by users), including online textual data and online photo data; device data (by devices), including GPS data, mobile roaming data, Bluetooth data, etc.; transaction data (by operations), including web search data, webpage visiting data, online booking data, etc. Carrying different information, different data types address different tourism issues. For each type, a systematical analysis is conducted from the perspectives of research focuses, data characteristics, analytic techniques, major challenges and further directions. This survey facilitates a thorough understanding of this sunrise research and offers valuable insights into its future prospects.",https://doi.org/10.1016/j.tourman.2018.03.009,2018,Jingjing Li and Lizhi Xu and Ling Tang and Shouyang Wang and Ling Li,BIG DATA IN TOURISM RESEARCH: A LITERATURE REVIEW,article
